N01,New Year's Day,01/01/2025,Wednesday
N01,Chinese New Year - Day 1,29/01/2025,Wednesday
N01,Chinese New Year - Day 2,30/01/2025,Thursday
N02,Federal Territory Day (KL Office Only),01/02/2025,Saturday
N01,Thaipusam,11/02/2025,Tuesday
N01,Nuzul Al-Quran,18/03/2025,Tuesday
N01,Sultan of Johor's Birthday (JB Office Only),23/03/2025,Sunday
R01,Replacement for Sultan of Johor's Birthday,24/03/2025,Monday
N01,Hari Raya Aidilfitri - Day 1,31/03/2025,Monday
N01,Hari Raya Aidilfitri - Day 2,01/04/2025,Tuesday
N01,Labour Day,01/05/2025,Thursday
N01,Wesak Day,12/05/2025,Monday
N01,Yang di-Pertuan Agong's Birthday,02/06/2025,Monday
N01,Hari Raya Haji,07/06/2025,Saturday
N01,Awal Muharram,27/06/2025,Friday
N01,National Day,31/08/2025,Sunday
R01,Replacement for National Day,01/09/2025,Monday
N01,Prophet Muhammad's Birthday,05/09/2025,Friday
N01,Additional PH in conjunction with Malaysia Day,15/09/2025,Monday
N01,Malaysia Day,16/09/2025,Tuesday
N01,Deepavali,20/10/2025,Monday
N01,Merry Christmas,25/12/2025,Thursday
N01,New Year's Day,01/01/2026,Thursday
N01,Thaipusam,01/02/2026,Sunday
N02,Federal Territory Day (KL Office Only),01/02/2026,Sunday
R01,Replacement for Thaipusam,02/02/2026,Monday
R01,Replacement for Federal Territory Day (KL Office Only),03/02/2026,Tuesday
N01,Chinese New Year - Day 1,17/02/2026,Tuesday
N01,Chinese New Year - Day 2,18/02/2026,Wednesday
N01,Nuzul Al-Quran,07/03/2026,Saturday
N01,Hari Raya Aidilfitri - Day 1,21/03/2026,Saturday
N01,Hari Raya Aidilfitri - Day 2,22/03/2026,Sunday
R01,Replacement for Hari Raya Aidilfitri - Day 2,23/03/2026,Monday
N01,Sultan of Johor's Birthday (JB Office Only),23/03/2026,Monday
R01,Replacement for Sultan of Johor's Birthday (JB Office Only),24/03/2026,Tuesday
N01,Labour Day,01/05/2026,Friday
N01,Hari Raya Haji,27/05/2026,Wednesday
N01,Wesak Day,31/05/2026,Sunday
N01,Yang di-Pertuan Agong's Birthday,01/06/2026,Monday
R01,Replacement for Wesak Day,01/06/2026,Monday
N01,Awal Muharram,17/06/2026,Wednesday
N01,Prophet Muhammad's Birthday,25/08/2026,Tuesday
N01,National Day,31/08/2026,Monday
N01,Malaysia Day,16/09/2026,Wednesday
N01,Deepavali,08/11/2026,Sunday
R01,Replacement for Deepavali,09/11/2026,Monday
N01,Merry Christmas,25/12/2026,Friday
N01,New Year's Day,01/01/2027,Friday
N02,Federal Territory Day (KL Office Only),01/02/2027,Monday
N01,Sultan of Johor's Birthday (JB Office Only),23/03/2027,Tuesday
N01,Labour Day,01/05/2027,Saturday
N01,National Day,31/08/2027,Tuesday
N01,Malaysia Day,16/09/2027,Thursday
N01,Merry Christmas,25/12/2027,Saturday
